file	mp3	bubbles
passFR.jpg		cet été, avec les 2 cartons j'ai passé des frontières
visaCL.gif	01_conversation_un_peu_sourde	un autre qu'on a du mal à ouvrir|neuf et brillant.|il sent le papier|il vient de mon papa
P1180750_map_ri.jpg	13_vent_mer	l'autre dans ma main
P1180362_papier.jpg		des images, aussi
P1180751_regions.jpg		d’un océan à l’autre|il faudra traverser la montagne|et voir si les choses sont symétriques|à gauche comme à droite
P1170292_moivitre.jpg		quand on me demande d'où je viens, je réponds que je suis en voyage.
P1140523.m4v		trouver un compromis|de ceux qu'on peut pas oublier,|celui qu'on a le temps de prendre en photo
P1150938c.m4v		dans toutes les rues|celles oubliées|les femmes riront|les enfants reveillés|ramèneront du pain pour tous les diners|les soupes joyeuses|à marmite des mamans|aux papas chics|sous leurs chapeaux de fête
P1150556_cour.JPG		nos slogans travaillés|qui viennent du fond du coeur|le politiquement correc|c'est toujours subjectif
P1170877-P1170881r.jpg		elle me dit qu’on retrouvera l’équilibre|et je lui fais confiance|qu'il faut suivre le pacifique|pour arriver à l'atlantique
P1170593.m4v		mes yeux pleurent|je veux déchirer un morceau|d'ici pour le ramener chez moi|en souvenir ou en cadeau
P1170254_tofs.JPG		on sort un appareil digital|et on clique|pour garder les traces
P1150326_ruflu.JPG		si je le pose par terre|il ne vise pas bien loin|comme s’il comprenait qu’en bas|il faut changer d’échelle
P1150683_proj.JPG		de certains films je ne garde que celles-là|tout y est encore possible
P1170056_moi.JPG		ce qu’il y a en dessous|ce dont on perd l'habitude|voir|(et toucher)
P1150950c.m4v		l'habitude nous attrape pas|on passe dans les villes|et les villes tournent,
P1150652_coul.JPG		je ne cherche pas à le comprendre|je préfère me tromper
P1170806-P1170816_moi.jpg		je cherche mon ombre|pour me confirmer|que j'étais bien là
P1150280_omb.JPG		tout d'un coup je ressemble|à une maman bolivienne|avec mon chapeau paysan
P1180393_I_soir.m4v		carte compliquée|sans le «vous-êtes-ici»|dans laquelle on est|-cette fois-|trop haut pour bien voir|et de là je n’entends pas le bruit de la rue|il me manque
P1170251_pench.JPG		j’aimerai bien voir mes photos un peu penchées,|sans pouvoir  choisir|selon l’axe de la terre|c’est comme ça qu’on devrait voir|tout avec la bonne inclinaison|en la tournant dans le bon sens|le sud est au nord|un peu penchés, vers le soleil, on collerait à la terre avec la boue|et les fourmis
P1180189_b1.JPG		d'ouvrir les yeux
P1150740_elle.JPG		parfois ce quelqu'un d'autre|c'est toi|je suis tout petit|en perspective
P1160010c.m4v		prises avec cet angle, il y en a beaucoup|et je ne suis plus capable|de dire d’où elles viennent
P1180435_sens.JPG		on ralentit|avec tous les gens|qui vont en sens inverse
P1150383_louer.JPG		on a trouvé des maison extraordinaires|sans en demander le prix, par timidité|tu voulais la garder en rêve ?|ça, on se souviendra où c'était
P1170070c.m4v		mais le lendemain, on sera moins motivé|on l'aura oublié
P1140456_I_metro.m4v		pour guérir les maux de pied|de tête ou du pays|qui me disent ou je suis|ce que je dois faire|et quel jour de la semaine
P1180695_I_outof.gif		eso no lo entiendo|y al lado vemos :|« issue de secours »|je leur dis|que j’effacerai mes souvenirs|que je n’ai pas compris tous les symboles
P1180051_prohibido.gif		on entend de la politique|et des discours|la ville parle beaucoup|quand il n’y a personne
P1150620_pente.JPG		les passants|leur regard suit|leurs pieds|ils ne peuvent pas tomber
P1140231_mardeu.m4v		pour comparer|ce que je vois quand je me balade au hasard
P1140539_I_eglise.gif		la ville devient moins compliquée|elle commence à discuter
P1140550c.m4v		il fait de l'ombre|à ceux qui travaillent|dans la rue
P1180203.m4v		mon regard après|est moins pressé
P1140573c.m4v		casi es lo mismo|por acá no hay nada|por hacer
P1180443_I_tenis.m4v		les joueurs sont pas là pour en témoigner|ils doivent être chez eux ou au travail
gifcop_ombre.gif		la journée se projette dedans|nous on fait plus rien
P1140396.m4v		et on rentre chez soi avec un peu plus dair
